id,createdAt,text,hashtags,urls,user_mentions,retweetCount,replyCount,likeCount,quoteCount,viewCount,bookmarkCount,char_length,word_length
1968044452062097617,Tue Sep 16 20:08:56 +0000 2025,"LazyDrag: Stable Drag-Based Editing on Diffusion Transformers

This new method eliminates implicit point matching for precise control and text guidance. No more costly test-time optimization! Achieve complex edits like opening mouths, adding objects, or context-aware changes with unprecedented stability & fidelity.",,,,3,1,25,0,1274,8,316,41
1971007213218009474,Thu Sep 25 00:21:53 +0000 2025,"ByteDance Seed unveils Hyper-Bagel for blazing-fast multimodal AI

This unified framework accelerates understanding and generation with speculative decoding & distillation. Achieves 2x speedup in understanding, 16.67x for text-to-image, & 22x for image editing while preserving quality!",,,,2,1,5,0,884,5,286,36
1956266979678953523,Fri Aug 15 08:09:28 +0000 2025,"StepFun AI just unveiled NextStep-1, a breakthrough in autoregressive image generation!

It uses continuous tokens to bypass VQ loss, creating incredibly high-fidelity images.

Like this Iron Man panda! Get ready for stunning visual synthesis &amp; editing capabilities. https://t.co/VbyKnxoaAF",,,,4,2,15,0,811,11,294,38
1968107216939938004,Wed Sep 17 00:18:20 +0000 2025,"MIT &amp; Toyota unveil a core secret of image diffusion models

The 'locality' driving generalization in deep diffusion models isn't due to CNN inductive bias. Our research shows it emerges directly from dataset statistics, leading to improved analytical denoisers. https://t.co/nvhOjGh1Pf",,,,4,1,15,0,989,7,290,40
1967501694805201327,Mon Sep 15 08:12:13 +0000 2025,"InfGen: Generating stunning images at *any* resolution

This new paradigm cuts 4K image generation time to under 10 seconds! It replaces VAE decoders with a one-step generator, empowering existing diffusion models for scalable, high-fidelity synthesis without retraining. https://t.co/zSVgR2LSEn",,,,3,1,25,0,1397,10,295,38
1972877172055454067,Tue Sep 30 04:12:26 +0000 2025,"New breakthrough: SLA redefines Diffusion Transformer efficiency!

Researchers from Tsinghua & UC Berkeley introduce Sparse-Linear Attention (SLA). It reduces DiT attention computation by 95% while maintaining generation quality, leading to a 13.7x kernel speedup & 2.2x end-to-end video generation boost! 🚀",,,,3,1,17,0,1007,4,307,41
1942496200831148516,Tue Jul 08 08:09:18 +0000 2025,"NVIDIA and partners introduce 4DSloMo on Hugging Face!

Reconstruct high-speed 4D scenes with an ingenious asynchronous capture scheme, achieving 100-200 FPS equivalent from standard low-FPS cameras.

It leverages video diffusion for stunning, artifact-free results. https://t.co/VMBNzBatP0",,,,1,1,7,0,898,2,290,35
1936399599901749564,Sat Jun 21 12:23:35 +0000 2025,"Discrete Diffusion in Large Language and Multimodal Models: A Survey just released on Hugging Face

Get an overview of research in discrete diffusion LLMs and MLLMs, which achieve performance comparable to autoregressive models with up to 10x faster inference! https://t.co/wG2VB3yvie",,,,93,6,376,1,12,260,284,40
1942919024456642607,Wed Jul 09 12:09:27 +0000 2025,"SingLoRA outperforms LoRA &amp; variants:
- 91.3% MNLI acc (LLaMA 7B) with 60% fewer params.
- 0.151 DINO score on DreamBooth (Stable Diffusion).

Read the paper: https://t.co/4BHh6szerP

Share your research &amp; models on the Hugging Face Hub!",,https://huggingface.co/papers/2507.05566,,1,0,5,0,781,2,245,37
1944731051135271223,Mon Jul 14 12:09:48 +0000 2025,"NeuralOS combines an RNN for state tracking and a diffusion model for rendering, trained on large-scale Ubuntu XFCE recordings.

Explore the paper: https://t.co/8zEi8aLRI2

Try the demo at https://t.co/mk5eg2NgOz! We'd love to see it hosted on a Hugging Face Space too! 🚀",,"https://huggingface.co/papers/2507.08800, https://neural-os.com",,0,0,1,0,426,0,271,41
